"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6275","loginFromForgotPasswordForm[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserLoginUITests","com.stellar.burgers.tests.ui.UserLoginUITests","loginFromForgotPasswordForm[Browser: yandex]"
"","5711","loginFromMainPageButton[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserLoginUITests","com.stellar.burgers.tests.ui.UserLoginUITests","loginFromMainPageButton[Browser: yandex]"
"","6108","loginFromPersonalAccountButton[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserLoginUITests","com.stellar.burgers.tests.ui.UserLoginUITests","loginFromPersonalAccountButton[Browser: yandex]"
"","4581","registrationWithShortPassword[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserRegistrationUITests","com.stellar.burgers.tests.ui.UserRegistrationUITests","registrationWithShortPassword[Browser: chrome]"
"","7488","loginFromForgotPasswordForm[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserLoginUITests","com.stellar.burgers.tests.ui.UserLoginUITests","loginFromForgotPasswordForm[Browser: chrome]"
"","6695","registrationWithExistingEmail[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserRegistrationUITests","com.stellar.burgers.tests.ui.UserRegistrationUITests","registrationWithExistingEmail[Browser: yandex]"
"","5747","switchToFillingsSection[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.ConstructorTest","com.stellar.burgers.tests.ui.ConstructorTest","switchToFillingsSection[Browser: yandex]"
"","7327","switchToBunsSection[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.ConstructorTest","com.stellar.burgers.tests.ui.ConstructorTest","switchToBunsSection[Browser: yandex]"
"","7496","loginFromRegistrationForm[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserLoginUITests","com.stellar.burgers.tests.ui.UserLoginUITests","loginFromRegistrationForm[Browser: yandex]"
"","6181","switchToFillingsSection[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.ConstructorTest","com.stellar.burgers.tests.ui.ConstructorTest","switchToFillingsSection[Browser: chrome]"
"","7537","loginFromRegistrationForm[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserLoginUITests","com.stellar.burgers.tests.ui.UserLoginUITests","loginFromRegistrationForm[Browser: chrome]"
"","7279","successfulRegistration[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserRegistrationUITests","com.stellar.burgers.tests.ui.UserRegistrationUITests","successfulRegistration[Browser: yandex]"
"","6367","switchToSaucesSection[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.ConstructorTest","com.stellar.burgers.tests.ui.ConstructorTest","switchToSaucesSection[Browser: chrome]"
"","6205","registrationWithExistingEmail[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserRegistrationUITests","com.stellar.burgers.tests.ui.UserRegistrationUITests","registrationWithExistingEmail[Browser: chrome]"
"","6723","switchToBunsSection[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.ConstructorTest","com.stellar.burgers.tests.ui.ConstructorTest","switchToBunsSection[Browser: chrome]"
"","6812","loginFromPersonalAccountButton[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserLoginUITests","com.stellar.burgers.tests.ui.UserLoginUITests","loginFromPersonalAccountButton[Browser: chrome]"
"","10670","successfulRegistration[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserRegistrationUITests","com.stellar.burgers.tests.ui.UserRegistrationUITests","successfulRegistration[Browser: chrome]"
"","6216","loginFromMainPageButton[Browser: chrome]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserLoginUITests","com.stellar.burgers.tests.ui.UserLoginUITests","loginFromMainPageButton[Browser: chrome]"
"","6071","switchToSaucesSection[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.ConstructorTest","com.stellar.burgers.tests.ui.ConstructorTest","switchToSaucesSection[Browser: yandex]"
"","5577","registrationWithShortPassword[Browser: yandex]","","2026-02-10","passed","2026-02-10","","com.stellar.burgers.tests.ui.UserRegistrationUITests","com.stellar.burgers.tests.ui.UserRegistrationUITests","registrationWithShortPassword[Browser: yandex]"
